symbol,sector
360ONE,Financial Services
3MINDIA,Diversified
AARTIDRUGS,Healthcare
AARTIIND,Chemicals
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ACC,Construction Materials
ACCELYA,Information Technology
ACE,Capital Goods
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
ADFFOODS,Fast Moving Consumer Goods
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABREL,Realty
ADVENZYMES,Healthcare
AEGISLOG,Oil Gas & Consumable Fuels
AFFLE,Information Technology
AHLUCONT,Construction
AIAENG,Capital Goods
AJANTPHARM,Healthcare
ALEMBICLTD,Healthcare
APLLTD,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALLCARGO,Services
ARE&M,Automobile and Auto Components
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
APARINDS,Capital Goods
APCOTEXIND,Chemicals
APLAPOLLO,Capital Goods
APOLLOHOSP,Healthcare
APOLLOPIPE,Capital Goods
APOLLOTYRE,Automobile and Auto Components
ARMANFIN,Financial Services
ARVIND,Textiles
ARVINDFASN,Consumer Services
ASAHIINDIA,Automobile and Auto Components
ASHOKLEY,Capital Goods
ASHOKA,Construction
ASIANPAINT,Consumer Durables
ASTEC,Chemicals
ASTERDM,Healthcare
ASTRAMICRO,Capital Goods
ASTRAL,Capital Goods
ASTRAZEN,Healthcare
ATUL,Chemicals
AUBANK,Financial Services
AUROPHARMA,Healthcare
AURUM,Realty
AUTOAXLES,Automobile and Auto Components
AVANTIFEED,Fast Moving Consumer Goods
DMART,Consumer Services
CCAVENUE,Financial Services
AXISBANK,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJAJCON,Fast Moving Consumer Goods
BAJAJELEC,Consumer Durables
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHIND,Fast Moving Consumer Goods
BAJAJHLDNG,Financial Services
BALAMINES,Chemicals
BALKRISIND,Automobile and Auto Components
BALMLAWRIE,Diversified
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BANARISUG,Fast Moving Consumer Goods
BASF,Chemicals
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BEML,Capital Goods
BERGEPAINT,Consumer Durables
BFINVEST,Financial Services
BFUTILITIE,Power
BEPL,Chemicals
BBL,Capital Goods
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Automobile and Auto Components
BHARTIARTL,Telecommunication
BHEL,Capital Goods
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BSOFT,Information Technology
BLISSGVS,Healthcare
BLUEDART,Services
BLUESTARCO,Consumer Durables
BODALCHEM,Chemicals
BBTC,Fast Moving Consumer Goods
BOMDYEING,Textiles
BORORENEW,Capital Goods
BOSCHLTD,Automobile and Auto Components
BOSCH-HCIL,Consumer Durables
BPCL,Oil Gas & Consumable Fuels
BRIGADE,Realty
BRITANNIA,Fast Moving Consumer Goods
CAMLINFINE,Chemicals
CANBK,Financial Services
CANFINHOME,Financial Services
CAPLIPOINT,Healthcare
CGCL,Financial Services
CARBORUNIV,Capital Goods
CARERATING,Financial Services
CASTROLIND,Oil Gas & Consumable Fuels
CCL,Fast Moving Consumer Goods
CEATLTD,Automobile and Auto Components
CEMPRO,Construction
CENTRALBK,Financial Services
CENTURYPLY,Consumer Durables
CERA,Consumer Durables
CESC,Power
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOLAHLDNG,Financial Services
CHOLAFIN,Financial Services
CIEINDIA,Automobile and Auto Components
CIPLA,Healthcare
CUB,Financial Services
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COHANCE,Healthcare
COLPAL,Fast Moving Consumer Goods
CONCOR,Services
COROMANDEL,Chemicals
COSMOFIRST,Chemicals
CREDITACC,Financial Services
CRISIL,Financial Services
CROMPTON,Consumer Durables
CSBBANK,Financial Services
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DBCORP,Media Entertainment & Publication
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DALMIASUG,Fast Moving Consumer Goods
DCBBANK,Financial Services
DCMSHRIRAM,Diversified
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DHANUKA,Chemicals
DBL,Construction
DCAL,Healthcare
DIVISLAB,Healthcare
DIXON,Consumer Durables
DLF,Realty
DOLLAR,Textiles
LALPATHLAB,Healthcare
DRREDDY,Healthcare
DREDGECORP,Services
EIDPARRY,Fast Moving Consumer Goods
ECLERX,Services
EDELWEISS,Financial Services
EICHERMOT,Automobile and Auto Components
EIHOTEL,Consumer Services
ELANTAS,Chemicals
ELGIEQUIP,Capital Goods
